image Name,object 1,is close to,is far from,is smaller than,is greater than,overlaps,doesnt overlap,is in the right of,is in the left of,is in the bottom of,is in the top of
images (1).jpg,elephant,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,elephant,na,na,na,na,na
images (1).jpg,elephant,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,elephant,na,na,na,na,na
images (1).jpg,elephant,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,elephant,na,na,na,na,na
images (1).jpg,elephant,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,elephant,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,car,na,na,na,na,truck,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,car,na,na,na,na,na
images (1).jpg,truck,na,na,na,na,car,na,na,na,na,na
images (1).jpg,car,na,na,na,na,truck,na,na,na,na,na
images.jpg,person,na,na,na,na,car,na,na,na,na,na
images.jpg,car,na,na,na,na,person,na,na,na,na,na
images.jpg,person,na,na,na,na,elephant,na,na,na,na,na
images.jpg,elephant,na,na,na,na,person,na,na,na,na,na
images.jpg,person,na,na,na,na,na,person,na,na,na,na
images.jpg,person,na,na,na,na,na,person,na,na,na,na
images.jpg,person,na,na,na,na,na,person,na,na,na,na
images.jpg,person,na,na,na,na,na,person,na,na,na,na
images.jpg,person,na,na,na,na,na,person,na,na,na,na
images.jpg,person,na,na,na,na,na,person,na,na,na,na
images.jpg,car,na,na,na,na,elephant,na,na,na,na,na
